nr;name;teacher;teachingAssistant
3281;undergraduateCourse28;3102;
3291;undergraduateCourse29;3102;
3301;undergraduateCourse30;3112;
3311;undergraduateCourse31;3003;30402
3321;undergraduateCourse32;3003;
3331;undergraduateCourse33;3013;30932
3341;undergraduateCourse34;3013;
3351;undergraduateCourse35;3023;30612
3361;undergraduateCourse36;3023;
3371;undergraduateCourse37;3033;30302
3381;undergraduateCourse38;3043;
3391;undergraduateCourse39;3043;
3401;undergraduateCourse40;3053;
3411;undergraduateCourse41;3063;30632
3421;undergraduateCourse42;3073;
3431;undergraduateCourse43;3083;
3441;undergraduateCourse44;3083;
3451;undergraduateCourse45;3093;
3461;undergraduateCourse46;3093;30022
3471;undergraduateCourse47;3004;
3481;undergraduateCourse48;3014;
3491;undergraduateCourse49;3014;
3501;undergraduateCourse50;3024;
3511;undergraduateCourse51;3034;30052
3521;undergraduateCourse52;3044;
3531;undergraduateCourse53;3044;30172
3541;undergraduateCourse54;3054;
4001;undergraduateCourse0;4001;40042
4011;undergraduateCourse1;4001;
4021;undergraduateCourse2;4011;40232
4031;undergraduateCourse3;4021;40952
4041;undergraduateCourse4;4021;40632
4051;undergraduateCourse5;4031;40212
4061;undergraduateCourse6;4031;40692
4071;undergraduateCourse7;4041;
4081;undergraduateCourse8;4041;
4091;undergraduateCourse9;4051;
4101;undergraduateCourse10;4061;40072
4111;undergraduateCourse11;4061;
4121;undergraduateCourse12;4002;
4131;undergraduateCourse13;4012;40922
4141;undergraduateCourse14;4012;40132
4151;undergraduateCourse15;4022;
4161;undergraduateCourse16;4032;
4171;undergraduateCourse17;4032;40552
4181;undergraduateCourse18;4042;
4191;undergraduateCourse19;4042;
4201;undergraduateCourse20;4052;40782
4211;undergraduateCourse21;4062;
4221;undergraduateCourse22;4072;40842
4231;undergraduateCourse23;4072;41002
4241;undergraduateCourse24;4082;
4251;undergraduateCourse25;4082;40572
4261;undergraduateCourse26;4092;
4271;undergraduateCourse27;4003;41112
4281;undergraduateCourse28;4013;40612
4291;undergraduateCourse29;4023;
4301;undergraduateCourse30;4033;
4311;undergraduateCourse31;4033;41152
4321;undergraduateCourse32;4043;40872
4331;undergraduateCourse33;4043;40812
4341;undergraduateCourse34;4053;40282
4351;undergraduateCourse35;4063;41192
4361;undergraduateCourse36;4063;
4371;undergraduateCourse37;4073;40832
4381;undergraduateCourse38;4073;
4391;undergraduateCourse39;4083;
4401;undergraduateCourse40;4083;
4411;undergraduateCourse41;4093;40422
4421;undergraduateCourse42;4004;40172
4431;undergraduateCourse43;4014;40512
4441;undergraduateCourse44;4014;
4451;undergraduateCourse45;4024;
4461;undergraduateCourse46;4024;40622
4471;undergraduateCourse47;4034;
4481;undergraduateCourse48;4044;40222
4491;undergraduateCourse49;4054;40662
4501;undergraduateCourse50;4064;41222
5001;undergraduateCourse0;5001;
5011;undergraduateCourse1;5001;
5021;undergraduateCourse2;5011;
5031;undergraduateCourse3;5021;50472
5041;undergraduateCourse4;5021;50882
5051;undergraduateCourse5;5031;50152
5061;undergraduateCourse6;5031;
5071;undergraduateCourse7;5041;
5081;undergraduateCourse8;5041;
5091;undergraduateCourse9;5051;50452
5101;undergraduateCourse10;5061;
5111;undergraduateCourse11;5071;
5121;undergraduateCourse12;5081;51042
5131;undergraduateCourse13;5091;50512
5141;undergraduateCourse14;5002;
5151;undergraduateCourse15;5002;50702
5161;undergraduateCourse16;5012;
5171;undergraduateCourse17;5012;50582
5181;undergraduateCourse18;5022;50312
5191;undergraduateCourse19;5022;50222
5201;undergraduateCourse20;5032;
5211;undergraduateCourse21;5032;50962
5221;undergraduateCourse22;5042;
5231;undergraduateCourse23;5042;
5241;undergraduateCourse24;5052;50102
5251;undergraduateCourse25;5052;
5261;undergraduateCourse26;5062;
5271;undergraduateCourse27;5062;51082
5281;undergraduateCourse28;5072;
5291;undergraduateCourse29;5072;50232
5301;undergraduateCourse30;5082;50532
5311;undergraduateCourse31;5082;
5321;undergraduateCourse32;5092;50482
5331;undergraduateCourse33;5102;50262
5341;undergraduateCourse34;5003;
5351;undergraduateCourse35;5013;
5361;undergraduateCourse36;5013;50952
5371;undergraduateCourse37;5023;50422
5381;undergraduateCourse38;5023;50002
5391;undergraduateCourse39;5033;50342
5401;undergraduateCourse40;5033;
5411;undergraduateCourse41;5043;50492
5421;undergraduateCourse42;5053;
5431;undergraduateCourse43;5063;
5441;undergraduateCourse44;5073;
5451;undergraduateCourse45;5073;
5461;undergraduateCourse46;5004;
5471;undergraduateCourse47;5004;50392
5481;undergraduateCourse48;5014;
5491;undergraduateCourse49;5014;50782
5501;undergraduateCourse50;5024;
5511;undergraduateCourse51;5024;
5521;undergraduateCourse52;5034;50732
5531;undergraduateCourse53;5044;
5541;undergraduateCourse54;5044;
5551;undergraduateCourse55;5054;50132
5561;undergraduateCourse56;5054;
6001;undergraduateCourse0;6001;60202
6011;undergraduateCourse1;6011;
6021;undergraduateCourse2;6011;60642
6031;undergraduateCourse3;6021;
6041;undergraduateCourse4;6031;60882
6051;undergraduateCourse5;6031;60472
6061;undergraduateCourse6;6041;
6071;undergraduateCourse7;6041;
6081;undergraduateCourse8;6051;
6091;undergraduateCourse9;6051;60542
6101;undergraduateCourse10;6061;
6111;undergraduateCourse11;6071;60332
6121;undergraduateCourse12;6071;60572
6131;undergraduateCourse13;6081;
6141;undergraduateCourse14;6081;
6151;undergraduateCourse15;6091;
6161;undergraduateCourse16;6002;60132
6171;undergraduateCourse17;6002;60582
6181;undergraduateCourse18;6012;
6191;undergraduateCourse19;6012;
6201;undergraduateCourse20;6022;
6211;undergraduateCourse21;6022;
6221;undergraduateCourse22;6032;
6231;undergraduateCourse23;6032;
6241;undergraduateCourse24;6042;
6251;undergraduateCourse25;6042;60992
6261;undergraduateCourse26;6052;60302
6271;undergraduateCourse27;6062;
6281;undergraduateCourse28;6062;61002
6291;undergraduateCourse29;6072;
6301;undergraduateCourse30;6082;
6311;undergraduateCourse31;6082;60782
6321;undergraduateCourse32;6092;
6331;undergraduateCourse33;6003;60422
6341;undergraduateCourse34;6013;60592
6351;undergraduateCourse35;6023;60362
6361;undergraduateCourse36;6023;
6371;undergraduateCourse37;6033;60482
6381;undergraduateCourse38;6033;60942
6391;undergraduateCourse39;6043;
6401;undergraduateCourse40;6043;60622
6411;undergraduateCourse41;6053;60702
6421;undergraduateCourse42;6053;
6431;undergraduateCourse43;6063;
6441;undergraduateCourse44;6063;
6451;undergraduateCourse45;6073;
6461;undergraduateCourse46;6004;60902
6471;undergraduateCourse47;6004;
6481;undergraduateCourse48;6014;
6491;undergraduateCourse49;6014;60072
6501;undergraduateCourse50;6024;60512
6511;undergraduateCourse51;6034;60792
6521;undergraduateCourse52;6034;
6531;undergraduateCourse53;6044;
6541;undergraduateCourse54;6044;60102
6551;undergraduateCourse55;6054;61042
7001;undergraduateCourse0;7001;
7011;undergraduateCourse1;7011;
7021;undergraduateCourse2;7021;
7031;undergraduateCourse3;7031;
7041;undergraduateCourse4;7031;71172
7051;undergraduateCourse5;7041;
7061;undergraduateCourse6;7051;
7071;undergraduateCourse7;7051;70002
7081;undergraduateCourse8;7061;70622
7091;undergraduateCourse9;7061;
7101;undergraduateCourse10;7002;
7111;undergraduateCourse11;7002;70982
7121;undergraduateCourse12;7012;
7131;undergraduateCourse13;7012;
7141;undergraduateCourse14;7022;70992
7151;undergraduateCourse15;7022;70032
7161;undergraduateCourse16;7032;
7171;undergraduateCourse17;7032;
7181;undergraduateCourse18;7042;
7191;undergraduateCourse19;7052;70432
7201;undergraduateCourse20;7052;
7211;undergraduateCourse21;7062;
7221;undergraduateCourse22;7072;71182
7231;undergraduateCourse23;7072;
7241;undergraduateCourse24;7082;70122
7251;undergraduateCourse25;7082;
7261;undergraduateCourse26;7092;70022
7271;undergraduateCourse27;7092;
7281;undergraduateCourse28;7102;70812
7291;undergraduateCourse29;7102;
7301;undergraduateCourse30;7112;70102
7311;undergraduateCourse31;7122;
7321;undergraduateCourse32;7122;
7331;undergraduateCourse33;7132;
7341;undergraduateCourse34;7003;
7351;undergraduateCourse35;7003;
7361;undergraduateCourse36;7013;70772
7371;undergraduateCourse37;7013;70542
7381;undergraduateCourse38;7023;
7391;undergraduateCourse39;7023;
7401;undergraduateCourse40;7033;
7411;undergraduateCourse41;7043;
7421;undergraduateCourse42;7043;70152
7431;undergraduateCourse43;7053;70112
7441;undergraduateCourse44;7053;70452
7451;undergraduateCourse45;7063;
7461;undergraduateCourse46;7063;70672
7471;undergraduateCourse47;7073;
7481;undergraduateCourse48;7073;
7491;undergraduateCourse49;7083;
7501;undergraduateCourse50;7093;71002
7511;undergraduateCourse51;7093;70922
7521;undergraduateCourse52;7004;
7531;undergraduateCourse53;7004;
7541;undergraduateCourse54;7014;71102
7551;undergraduateCourse55;7014;70962
7561;undergraduateCourse56;7024;
7571;undergraduateCourse57;7024;
7581;undergraduateCourse58;7034;
7591;undergraduateCourse59;7034;
7601;undergraduateCourse60;7044;71082
7611;undergraduateCourse61;7054;70242
7621;undergraduateCourse62;7054;70792
8001;undergraduateCourse0;8001;
8011;undergraduateCourse1;8001;
8021;undergraduateCourse2;8011;
8031;undergraduateCourse3;8011;
8041;undergraduateCourse4;8021;81162
8051;undergraduateCourse5;8021;80642
8061;undergraduateCourse6;8031;80532
8071;undergraduateCourse7;8031;
8081;undergraduateCourse8;8041;
8091;undergraduateCourse9;8041;
8101;undergraduateCourse10;8051;
8111;undergraduateCourse11;8051;80782
8121;undergraduateCourse12;8061;80762
8131;undergraduateCourse13;8061;80492
8141;undergraduateCourse14;8071;
8151;undergraduateCourse15;8071;
8161;undergraduateCourse16;8081;80072
8171;undergraduateCourse17;8002;80852
8181;undergraduateCourse18;8002;81282
8191;undergraduateCourse19;8012;80292
8201;undergraduateCourse20;8012;81072
8211;undergraduateCourse21;8022;
8221;undergraduateCourse22;8022;
8231;undergraduateCourse23;8032;80332
8241;undergraduateCourse24;8042;
8251;undergraduateCourse25;8052;
8261;undergraduateCourse26;8052;
8271;undergraduateCourse27;8062;
8281;undergraduateCourse28;8062;81102
8291;undergraduateCourse29;8072;80202
8301;undergraduateCourse30;8082;81172
8311;undergraduateCourse31;8092;81342
8321;undergraduateCourse32;8102;80322
8331;undergraduateCourse33;8102;
8341;undergraduateCourse34;8003;
8351;undergraduateCourse35;8003;81122
8361;undergraduateCourse36;8013;80602
8371;undergraduateCourse37;8023;
8381;undergraduateCourse38;8023;80542
8391;undergraduateCourse39;8033;80592
8401;undergraduateCourse40;8033;81212
8411;undergraduateCourse41;8043;
8421;undergraduateCourse42;8053;80422
8431;undergraduateCourse43;8063;80212
8441;undergraduateCourse44;8063;
8451;undergraduateCourse45;8073;81302
8461;undergraduateCourse46;8073;
8471;undergraduateCourse47;8083;81262
8481;undergraduateCourse48;8093;
8491;undergraduateCourse49;8103;80252
8501;undergraduateCourse50;8103;80752
8511;undergraduateCourse51;8004;
8521;undergraduateCourse52;8004;
8531;undergraduateCourse53;8014;80472
8541;undergraduateCourse54;8014;
8551;undergraduateCourse55;8024;
8561;undergraduateCourse56;8024;80582
8571;undergraduateCourse57;8034;81402
8581;undergraduateCourse58;8034;
8591;undergraduateCourse59;8044;81252
8601;undergraduateCourse60;8054;80232
8611;undergraduateCourse61;8054;81222
9001;undergraduateCourse0;9001;91042
9011;undergraduateCourse1;9011;90142
9021;undergraduateCourse2;9011;
9031;undergraduateCourse3;9021;90862
9041;undergraduateCourse4;9031;
9051;undergraduateCourse5;9041;90482
9061;undergraduateCourse6;9051;
9071;undergraduateCourse7;9051;
9081;undergraduateCourse8;9061;
9091;undergraduateCourse9;9061;
9101;undergraduateCourse10;9002;90382
9111;undergraduateCourse11;9002;90962
9121;undergraduateCourse12;9012;
9131;undergraduateCourse13;9022;90652
9141;undergraduateCourse14;9032;
9151;undergraduateCourse15;9042;
9161;undergraduateCourse16;9042;90512
9171;undergraduateCourse17;9052;
9181;undergraduateCourse18;9062;90122
9191;undergraduateCourse19;9072;
9201;undergraduateCourse20;9082;90342
9211;undergraduateCourse21;9092;
9221;undergraduateCourse22;9003;
9231;undergraduateCourse23;9003;
9241;undergraduateCourse24;9013;90522
9251;undergraduateCourse25;9023;90762
9261;undergraduateCourse26;9023;90882
9271;undergraduateCourse27;9033;90282
9281;undergraduateCourse28;9033;90712
9291;undergraduateCourse29;9043;90662
9301;undergraduateCourse30;9053;
9311;undergraduateCourse31;9063;90412
9321;undergraduateCourse32;9073;90112
9331;undergraduateCourse33;9073;
9341;undergraduateCourse34;9083;90792
9351;undergraduateCourse35;9093;90922
9361;undergraduateCourse36;9093;
9371;undergraduateCourse37;9103;90852
9381;undergraduateCourse38;9004;
9391;undergraduateCourse39;9014;
9401;undergraduateCourse40;9014;90432
9411;undergraduateCourse41;9024;
9421;undergraduateCourse42;9024;90042
9431;undergraduateCourse43;9034;
9441;undergraduateCourse44;9044;
9451;undergraduateCourse45;9054;90012
9461;undergraduateCourse46;9054;
9471;undergraduateCourse47;9064;
10001;undergraduateCourse0;10001;
10011;undergraduateCourse1;10001;100062
10021;undergraduateCourse2;10011;101202
10031;undergraduateCourse3;10021;
10041;undergraduateCourse4;10031;101292
10051;undergraduateCourse5;10031;
10061;undergraduateCourse6;10041;101332
10071;undergraduateCourse7;10041;
10081;undergraduateCourse8;10051;101312
10091;undergraduateCourse9;10051;100702
10101;undergraduateCourse10;10061;100892
10111;undergraduateCourse11;10061;100352
10121;undergraduateCourse12;10002;101322
10131;undergraduateCourse13;10012;
10141;undergraduateCourse14;10012;100982
10151;undergraduateCourse15;10022;
10161;undergraduateCourse16;10032;100072
10171;undergraduateCourse17;10032;
10181;undergraduateCourse18;10042;
10191;undergraduateCourse19;10052;100592
10201;undergraduateCourse20;10052;100182
10211;undergraduateCourse21;10062;100322
10221;undergraduateCourse22;10072;
10231;undergraduateCourse23;10072;101112
10241;undergraduateCourse24;10082;
10251;undergraduateCourse25;10082;
10261;undergraduateCourse26;10092;
10271;undergraduateCourse27;10092;100462
10281;undergraduateCourse28;10102;101132
10291;undergraduateCourse29;10003;100582
10301;undergraduateCourse30;10003;
10311;undergraduateCourse31;10013;101172
10321;undergraduateCourse32;10013;
10331;undergraduateCourse33;10023;100222
10341;undergraduateCourse34;10033;100952
10351;undergraduateCourse35;10043;
10361;undergraduateCourse36;10043;100202
10371;undergraduateCourse37;10053;101212
10381;undergraduateCourse38;10063;101192
10391;undergraduateCourse39;10063;
10401;undergraduateCourse40;10073;
10411;undergraduateCourse41;10073;
10421;undergraduateCourse42;10083;
10431;undergraduateCourse43;10093;100312
10441;undergraduateCourse44;10093;100672
10451;undergraduateCourse45;10103;100502
10461;undergraduateCourse46;10004;
10471;undergraduateCourse47;10014;100452
10481;undergraduateCourse48;10014;100752
10491;undergraduateCourse49;10024;
10501;undergraduateCourse50;10034;101372
10511;undergraduateCourse51;10034;
10521;undergraduateCourse52;10044;100912
10531;undergraduateCourse53;10044;
10541;undergraduateCourse54;10054;
10551;undergraduateCourse55;10064;
10561;undergraduateCourse56;10064;
11001;undergraduateCourse0;11001;
11011;undergraduateCourse1;11001;110032
11021;undergraduateCourse2;11011;
11031;undergraduateCourse3;11021;
11041;undergraduateCourse4;11021;111022
11051;undergraduateCourse5;11031;
11061;undergraduateCourse6;11031;110102
11071;undergraduateCourse7;11041;111402
11081;undergraduateCourse8;11041;
11091;undergraduateCourse9;11051;111192
11101;undergraduateCourse10;11061;110992
11111;undergraduateCourse11;11061;110282
11121;undergraduateCourse12;11071;
11131;undergraduateCourse13;11071;110022
11141;undergraduateCourse14;11002;
11151;undergraduateCourse15;11012;
11161;undergraduateCourse16;11012;
11171;undergraduateCourse17;11022;
11181;undergraduateCourse18;11032;110242
11191;undergraduateCourse19;11042;
11201;undergraduateCourse20;11052;110322
11211;undergraduateCourse21;11062;110572
11221;undergraduateCourse22;11062;
11231;undergraduateCourse23;11072;
11241;undergraduateCourse24;11072;110062
11251;undergraduateCourse25;11082;110672
11261;undergraduateCourse26;11092;
11271;undergraduateCourse27;11102;
11281;undergraduateCourse28;11102;
11291;undergraduateCourse29;11112;110982
11301;undergraduateCourse30;11122;110532
11311;undergraduateCourse31;11132;110232
11321;undergraduateCourse32;11132;
11331;undergraduateCourse33;11003;110882
11341;undergraduateCourse34;11003;111352
11351;undergraduateCourse35;11013;110582
11361;undergraduateCourse36;11023;110642
11371;undergraduateCourse37;11023;
11381;undergraduateCourse38;11033;
11391;undergraduateCourse39;11033;
11401;undergraduateCourse40;11043;110612
11411;undergraduateCourse41;11053;
11421;undergraduateCourse42;11063;110472
11431;undergraduateCourse43;11073;
11441;undergraduateCourse44;11083;110972
11451;undergraduateCourse45;11083;
11461;undergraduateCourse46;11093;111072
11471;undergraduateCourse47;11093;
11481;undergraduateCourse48;11103;
11491;undergraduateCourse49;11103;
11501;undergraduateCourse50;11004;
11511;undergraduateCourse51;11014;110442
11521;undergraduateCourse52;11024;110092
11531;undergraduateCourse53;11024;111032
11541;undergraduateCourse54;11034;
11551;undergraduateCourse55;11034;111002
11561;undergraduateCourse56;11044;
11571;undergraduateCourse57;11054;110832
11581;undergraduateCourse58;11054;
12001;undergraduateCourse0;12001;120832
12011;undergraduateCourse1;12001;
12021;undergraduateCourse2;12011;120502
12031;undergraduateCourse3;12011;120102
12041;undergraduateCourse4;12021;
12051;undergraduateCourse5;12031;120362
12061;undergraduateCourse6;12031;120082
12071;undergraduateCourse7;12041;
12081;undergraduateCourse8;12041;120132
12091;undergraduateCourse9;12051;121002
12101;undergraduateCourse10;12061;
12111;undergraduateCourse11;12061;
12121;undergraduateCourse12;12071;120462
12131;undergraduateCourse13;12071;
12141;undergraduateCourse14;12081;
12151;undergraduateCourse15;12002;121102
12161;undergraduateCourse16;12012;120452
12171;undergraduateCourse17;12012;120072
12181;undergraduateCourse18;12022;
12191;undergraduateCourse19;12032;
12201;undergraduateCourse20;12032;120632
12211;undergraduateCourse21;12042;120522
12221;undergraduateCourse22;12052;120242
12231;undergraduateCourse23;12062;120192
12241;undergraduateCourse24;12072;121022
12251;undergraduateCourse25;12082;120992
12261;undergraduateCourse26;12092;120762
12271;undergraduateCourse27;12092;120942
12281;undergraduateCourse28;12102;
12291;undergraduateCourse29;12102;
12301;undergraduateCourse30;12003;
12311;undergraduateCourse31;12003;
12321;undergraduateCourse32;12013;
12331;undergraduateCourse33;12013;120432
12341;undergraduateCourse34;12023;
12351;undergraduateCourse35;12023;
12361;undergraduateCourse36;12033;120732
12371;undergraduateCourse37;12033;120742
12381;undergraduateCourse38;12043;
12391;undergraduateCourse39;12053;
12401;undergraduateCourse40;12063;120372
12411;undergraduateCourse41;12063;120812
12421;undergraduateCourse42;12073;
12431;undergraduateCourse43;12073;
12441;undergraduateCourse44;12083;120612
12451;undergraduateCourse45;12093;
12461;undergraduateCourse46;12093;
12471;undergraduateCourse47;12103;
12481;undergraduateCourse48;12004;
12491;undergraduateCourse49;12004;
12501;undergraduateCourse50;12014;
12511;undergraduateCourse51;12024;120902
12521;undergraduateCourse52;12034;
12531;undergraduateCourse53;12034;120032
12541;undergraduateCourse54;12044;
12551;undergraduateCourse55;12044;
13001;undergraduateCourse0;13001;
13011;undergraduateCourse1;13001;130802
13021;undergraduateCourse2;13011;130682
13031;undergraduateCourse3;13011;
13041;undergraduateCourse4;13021;
13051;undergraduateCourse5;13031;130992
13061;undergraduateCourse6;13041;130162
13071;undergraduateCourse7;13041;131222
13081;undergraduateCourse8;13051;130382
13091;undergraduateCourse9;13051;
13101;undergraduateCourse10;13061;130102
13111;undergraduateCourse11;13061;
13121;undergraduateCourse12;13071;
13131;undergraduateCourse13;13071;130112
13141;undergraduateCourse14;13002;
13151;undergraduateCourse15;13012;
13161;undergraduateCourse16;13012;131322
13171;undergraduateCourse17;13022;131052
13181;undergraduateCourse18;13032;130742
13191;undergraduateCourse19;13042;130522
13201;undergraduateCourse20;13042;
13211;undergraduateCourse21;13052;130422
13221;undergraduateCourse22;13052;
13231;undergraduateCourse23;13062;
13241;undergraduateCourse24;13072;131122
13251;undergraduateCourse25;13082;
13261;undergraduateCourse26;13092;131162
13271;undergraduateCourse27;13102;130872
13281;undergraduateCourse28;13112;130042
13291;undergraduateCourse29;13122;
13301;undergraduateCourse30;13122;130912
13311;undergraduateCourse31;13132;130812
13321;undergraduateCourse32;13132;130302
13331;undergraduateCourse33;13003;
13341;undergraduateCourse34;13003;130642
13351;undergraduateCourse35;13013;130732
13361;undergraduateCourse36;13023;131392
13371;undergraduateCourse37;13033;130182
13381;undergraduateCourse38;13043;
13391;undergraduateCourse39;13053;
13401;undergraduateCourse40;13063;130262
13411;undergraduateCourse41;13063;130052
13421;undergraduateCourse42;13073;131182
13431;undergraduateCourse43;13083;130582
13441;undergraduateCourse44;13093;
13451;undergraduateCourse45;13093;
13461;undergraduateCourse46;13103;130232
13471;undergraduateCourse47;13004;
13481;undergraduateCourse48;13014;
13491;undergraduateCourse49;13014;
13501;undergraduateCourse50;13024;
13511;undergraduateCourse51;13024;
13521;undergraduateCourse52;13034;
13531;undergraduateCourse53;13034;130072
13541;undergraduateCourse54;13044;
14001;undergraduateCourse0;14001;140862
14011;undergraduateCourse1;14011;140812
14021;undergraduateCourse2;14021;
14031;undergraduateCourse3;14031;140002
14041;undergraduateCourse4;14041;
14051;undergraduateCourse5;14051;140352
14061;undergraduateCourse6;14051;140872
