"nr";"name";"telephone";"emailAddress";"undergraduateDegreeFrom";"masterDegreeFrom";"doctoralDegreeFrom";"worksFor"
51;"fullProfessor5";"xxx-xxx-xxxx";"fullProfessor5@department0.university0.edu";451;718;358;0
52;"associateProfessor5";"xxx-xxx-xxxx";"associateProfessor5@department0.university0.edu";6;98;232;0
53;"assistantProfessor5";"xxx-xxx-xxxx";"assistantProfessor5@department0.university0.edu";818;170;188;0
54;"lecturer5";"xxx-xxx-xxxx";"lecturer5@department0.university0.edu";77;149;428;0
61;"fullProfessor6";"xxx-xxx-xxxx";"fullProfessor6@department0.university0.edu";297;662;135;0
62;"associateProfessor6";"xxx-xxx-xxxx";"associateProfessor6@department0.university0.edu";702;81;477;0
63;"assistantProfessor6";"xxx-xxx-xxxx";"assistantProfessor6@department0.university0.edu";815;817;575;0
64;"lecturer6";"xxx-xxx-xxxx";"lecturer6@department0.university0.edu";671;977;661;0
71;"fullProfessor7";"xxx-xxx-xxxx";"fullProfessor7@department0.university0.edu";243;901;241;0
72;"associateProfessor7";"xxx-xxx-xxxx";"associateProfessor7@department0.university0.edu";373;872;315;0
73;"assistantProfessor7";"xxx-xxx-xxxx";"assistantProfessor7@department0.university0.edu";40;974;627;0
81;"fullProfessor8";"xxx-xxx-xxxx";"fullProfessor8@department0.university0.edu";222;605;371;0
82;"associateProfessor8";"xxx-xxx-xxxx";"associateProfessor8@department0.university0.edu";778;715;782;0
83;"assistantProfessor8";"xxx-xxx-xxxx";"assistantProfessor8@department0.university0.edu";279;523;868;0
91;"fullProfessor9";"xxx-xxx-xxxx";"fullProfessor9@department0.university0.edu";688;963;730;0
92;"associateProfessor9";"xxx-xxx-xxxx";"associateProfessor9@department0.university0.edu";362;654;494;0
93;"assistantProfessor9";"xxx-xxx-xxxx";"assistantProfessor9@department0.university0.edu";298;367;107;0
102;"associateProfessor10";"xxx-xxx-xxxx";"associateProfessor10@department0.university0.edu";393;460;317;0
112;"associateProfessor11";"xxx-xxx-xxxx";"associateProfessor11@department0.university0.edu";126;352;945;0
122;"associateProfessor12";"xxx-xxx-xxxx";"associateProfessor12@department0.university0.edu";546;102;785;0
132;"associateProfessor13";"xxx-xxx-xxxx";"associateProfessor13@department0.university0.edu";416;794;448;0
1001;"fullProfessor0";"xxx-xxx-xxxx";"fullProfessor0@department1.university0.edu";512;509;963;1
1002;"associateProfessor0";"xxx-xxx-xxxx";"associateProfessor0@department1.university0.edu";468;539;525;1
1003;"assistantProfessor0";"xxx-xxx-xxxx";"assistantProfessor0@department1.university0.edu";911;743;438;1
1004;"lecturer0";"xxx-xxx-xxxx";"lecturer0@department1.university0.edu";948;322;352;1
1011;"fullProfessor1";"xxx-xxx-xxxx";"fullProfessor1@department1.university0.edu";933;337;413;1
1012;"associateProfessor1";"xxx-xxx-xxxx";"associateProfessor1@department1.university0.edu";857;54;199;1
1013;"assistantProfessor1";"xxx-xxx-xxxx";"assistantProfessor1@department1.university0.edu";768;797;260;1
1014;"lecturer1";"xxx-xxx-xxxx";"lecturer1@department1.university0.edu";674;560;132;1
1021;"fullProfessor2";"xxx-xxx-xxxx";"fullProfessor2@department1.university0.edu";568;782;718;1
1022;"associateProfessor2";"xxx-xxx-xxxx";"associateProfessor2@department1.university0.edu";437;728;193;1
1023;"assistantProfessor2";"xxx-xxx-xxxx";"assistantProfessor2@department1.university0.edu";237;648;934;1
1024;"lecturer2";"xxx-xxx-xxxx";"lecturer2@department1.university0.edu";481;179;154;1
1031;"fullProfessor3";"xxx-xxx-xxxx";"fullProfessor3@department1.university0.edu";383;546;846;1
1032;"associateProfessor3";"xxx-xxx-xxxx";"associateProfessor3@department1.university0.edu";887;368;776;1
1033;"assistantProfessor3";"xxx-xxx-xxxx";"assistantProfessor3@department1.university0.edu";636;260;585;1
1034;"lecturer3";"xxx-xxx-xxxx";"lecturer3@department1.university0.edu";315;204;34;1
1041;"fullProfessor4";"xxx-xxx-xxxx";"fullProfessor4@department1.university0.edu";70;463;539;1
1042;"associateProfessor4";"xxx-xxx-xxxx";"associateProfessor4@department1.university0.edu";178;918;546;1
1043;"assistantProfessor4";"xxx-xxx-xxxx";"assistantProfessor4@department1.university0.edu";106;180;730;1
1044;"lecturer4";"xxx-xxx-xxxx";"lecturer4@department1.university0.edu";636;88;914;1
1051;"fullProfessor5";"xxx-xxx-xxxx";"fullProfessor5@department1.university0.edu";325;192;363;1
1052;"associateProfessor5";"xxx-xxx-xxxx";"associateProfessor5@department1.university0.edu";376;946;413;1
1053;"assistantProfessor5";"xxx-xxx-xxxx";"assistantProfessor5@department1.university0.edu";22;691;312;1
1054;"lecturer5";"xxx-xxx-xxxx";"lecturer5@department1.university0.edu";183;823;235;1
1061;"fullProfessor6";"xxx-xxx-xxxx";"fullProfessor6@department1.university0.edu";8;194;984;1
1062;"associateProfessor6";"xxx-xxx-xxxx";"associateProfessor6@department1.university0.edu";912;405;515;1
1063;"assistantProfessor6";"xxx-xxx-xxxx";"assistantProfessor6@department1.university0.edu";236;473;96;1
1071;"fullProfessor7";"xxx-xxx-xxxx";"fullProfessor7@department1.university0.edu";797;986;855;1
1072;"associateProfessor7";"xxx-xxx-xxxx";"associateProfessor7@department1.university0.edu";466;342;290;1
1073;"assistantProfessor7";"xxx-xxx-xxxx";"assistantProfessor7@department1.university0.edu";417;658;990;1
1081;"fullProfessor8";"xxx-xxx-xxxx";"fullProfessor8@department1.university0.edu";40;436;786;1
1082;"associateProfessor8";"xxx-xxx-xxxx";"associateProfessor8@department1.university0.edu";669;228;450;1
1091;"fullProfessor9";"xxx-xxx-xxxx";"fullProfessor9@department1.university0.edu";666;584;205;1
1092;"associateProfessor9";"xxx-xxx-xxxx";"associateProfessor9@department1.university0.edu";681;614;726;1
2001;"fullProfessor0";"xxx-xxx-xxxx";"fullProfessor0@department2.university0.edu";13;272;562;2
2002;"associateProfessor0";"xxx-xxx-xxxx";"associateProfessor0@department2.university0.edu";644;399;445;2
2003;"assistantProfessor0";"xxx-xxx-xxxx";"assistantProfessor0@department2.university0.edu";419;732;555;2
2004;"lecturer0";"xxx-xxx-xxxx";"lecturer0@department2.university0.edu";940;325;729;2
2011;"fullProfessor1";"xxx-xxx-xxxx";"fullProfessor1@department2.university0.edu";408;803;768;2
2012;"associateProfessor1";"xxx-xxx-xxxx";"associateProfessor1@department2.university0.edu";719;338;830;2
2013;"assistantProfessor1";"xxx-xxx-xxxx";"assistantProfessor1@department2.university0.edu";680;98;964;2
2014;"lecturer1";"xxx-xxx-xxxx";"lecturer1@department2.university0.edu";652;504;91;2
2021;"fullProfessor2";"xxx-xxx-xxxx";"fullProfessor2@department2.university0.edu";605;434;415;2
2022;"associateProfessor2";"xxx-xxx-xxxx";"associateProfessor2@department2.university0.edu";748;367;252;2
2023;"assistantProfessor2";"xxx-xxx-xxxx";"assistantProfessor2@department2.university0.edu";529;948;150;2
2024;"lecturer2";"xxx-xxx-xxxx";"lecturer2@department2.university0.edu";304;211;311;2
2031;"fullProfessor3";"xxx-xxx-xxxx";"fullProfessor3@department2.university0.edu";884;749;354;2
2032;"associateProfessor3";"xxx-xxx-xxxx";"associateProfessor3@department2.university0.edu";254;963;909;2
2033;"assistantProfessor3";"xxx-xxx-xxxx";"assistantProfessor3@department2.university0.edu";42;404;499;2
2034;"lecturer3";"xxx-xxx-xxxx";"lecturer3@department2.university0.edu";593;762;342;2
2041;"fullProfessor4";"xxx-xxx-xxxx";"fullProfessor4@department2.university0.edu";561;721;634;2
2042;"associateProfessor4";"xxx-xxx-xxxx";"associateProfessor4@department2.university0.edu";434;163;479;2
2043;"assistantProfessor4";"xxx-xxx-xxxx";"assistantProfessor4@department2.university0.edu";775;412;289;2
2044;"lecturer4";"xxx-xxx-xxxx";"lecturer4@department2.university0.edu";698;278;12;2
2051;"fullProfessor5";"xxx-xxx-xxxx";"fullProfessor5@department2.university0.edu";107;95;538;2
2052;"associateProfessor5";"xxx-xxx-xxxx";"associateProfessor5@department2.university0.edu";829;848;110;2
2053;"assistantProfessor5";"xxx-xxx-xxxx";"assistantProfessor5@department2.university0.edu";608;361;128;2
2054;"lecturer5";"xxx-xxx-xxxx";"lecturer5@department2.university0.edu";928;522;272;2
2061;"fullProfessor6";"xxx-xxx-xxxx";"fullProfessor6@department2.university0.edu";367;249;392;2
2062;"associateProfessor6";"xxx-xxx-xxxx";"associateProfessor6@department2.university0.edu";854;466;889;2
2063;"assistantProfessor6";"xxx-xxx-xxxx";"assistantProfessor6@department2.university0.edu";286;106;960;2
2064;"lecturer6";"xxx-xxx-xxxx";"lecturer6@department2.university0.edu";327;937;783;2
2072;"associateProfessor7";"xxx-xxx-xxxx";"associateProfessor7@department2.university0.edu";888;382;273;2
2073;"assistantProfessor7";"xxx-xxx-xxxx";"assistantProfessor7@department2.university0.edu";381;153;500;2
2082;"associateProfessor8";"xxx-xxx-xxxx";"associateProfessor8@department2.university0.edu";784;585;900;2
2092;"associateProfessor9";"xxx-xxx-xxxx";"associateProfessor9@department2.university0.edu";401;82;866;2
2102;"associateProfessor10";"xxx-xxx-xxxx";"associateProfessor10@department2.university0.edu";610;499;170;2
2112;"associateProfessor11";"xxx-xxx-xxxx";"associateProfessor11@department2.university0.edu";188;728;182;2
3001;"fullProfessor0";"xxx-xxx-xxxx";"fullProfessor0@department3.university0.edu";873;760;110;3
3002;"associateProfessor0";"xxx-xxx-xxxx";"associateProfessor0@department3.university0.edu";994;566;530;3
3003;"assistantProfessor0";"xxx-xxx-xxxx";"assistantProfessor0@department3.university0.edu";483;541;895;3
3004;"lecturer0";"xxx-xxx-xxxx";"lecturer0@department3.university0.edu";178;763;19;3
3011;"fullProfessor1";"xxx-xxx-xxxx";"fullProfessor1@department3.university0.edu";348;967;523;3
3012;"associateProfessor1";"xxx-xxx-xxxx";"associateProfessor1@department3.university0.edu";627;724;221;3
3013;"assistantProfessor1";"xxx-xxx-xxxx";"assistantProfessor1@department3.university0.edu";176;49;910;3
3014;"lecturer1";"xxx-xxx-xxxx";"lecturer1@department3.university0.edu";862;532;365;3
3021;"fullProfessor2";"xxx-xxx-xxxx";"fullProfessor2@department3.university0.edu";110;13;145;3
3022;"associateProfessor2";"xxx-xxx-xxxx";"associateProfessor2@department3.university0.edu";262;222;885;3
3023;"assistantProfessor2";"xxx-xxx-xxxx";"assistantProfessor2@department3.university0.edu";422;535;37;3
3024;"lecturer2";"xxx-xxx-xxxx";"lecturer2@department3.university0.edu";568;194;255;3
3031;"fullProfessor3";"xxx-xxx-xxxx";"fullProfessor3@department3.university0.edu";538;664;412;3
3032;"associateProfessor3";"xxx-xxx-xxxx";"associateProfessor3@department3.university0.edu";639;728;998;3
3033;"assistantProfessor3";"xxx-xxx-xxxx";"assistantProfessor3@department3.university0.edu";640;244;836;3
3034;"lecturer3";"xxx-xxx-xxxx";"lecturer3@department3.university0.edu";546;558;272;3
3041;"fullProfessor4";"xxx-xxx-xxxx";"fullProfessor4@department3.university0.edu";985;459;231;3
3042;"associateProfessor4";"xxx-xxx-xxxx";"associateProfessor4@department3.university0.edu";81;121;843;3
3043;"assistantProfessor4";"xxx-xxx-xxxx";"assistantProfessor4@department3.university0.edu";359;917;352;3
3044;"lecturer4";"xxx-xxx-xxxx";"lecturer4@department3.university0.edu";608;723;968;3
3051;"fullProfessor5";"xxx-xxx-xxxx";"fullProfessor5@department3.university0.edu";654;742;334;3
3052;"associateProfessor5";"xxx-xxx-xxxx";"associateProfessor5@department3.university0.edu";222;760;983;3
3053;"assistantProfessor5";"xxx-xxx-xxxx";"assistantProfessor5@department3.university0.edu";724;856;608;3
3054;"lecturer5";"xxx-xxx-xxxx";"lecturer5@department3.university0.edu";51;591;959;3
3061;"fullProfessor6";"xxx-xxx-xxxx";"fullProfessor6@department3.university0.edu";273;228;326;3
3062;"associateProfessor6";"xxx-xxx-xxxx";"associateProfessor6@department3.university0.edu";663;595;452;3
3063;"assistantProfessor6";"xxx-xxx-xxxx";"assistantProfessor6@department3.university0.edu";997;860;96;3
3071;"fullProfessor7";"xxx-xxx-xxxx";"fullProfessor7@department3.university0.edu";708;395;624;3
3072;"associateProfessor7";"xxx-xxx-xxxx";"associateProfessor7@department3.university0.edu";231;392;429;3
3073;"assistantProfessor7";"xxx-xxx-xxxx";"assistantProfessor7@department3.university0.edu";359;726;328;3
3081;"fullProfessor8";"xxx-xxx-xxxx";"fullProfessor8@department3.university0.edu";289;389;469;3
3082;"associateProfessor8";"xxx-xxx-xxxx";"associateProfessor8@department3.university0.edu";397;168;780;3
3083;"assistantProfessor8";"xxx-xxx-xxxx";"assistantProfessor8@department3.university0.edu";774;613;220;3
3092;"associateProfessor9";"xxx-xxx-xxxx";"associateProfessor9@department3.university0.edu";786;47;722;3
3093;"assistantProfessor9";"xxx-xxx-xxxx";"assistantProfessor9@department3.university0.edu";678;594;373;3
3102;"associateProfessor10";"xxx-xxx-xxxx";"associateProfessor10@department3.university0.edu";848;958;375;3
3112;"associateProfessor11";"xxx-xxx-xxxx";"associateProfessor11@department3.university0.edu";567;572;796;3
4001;"fullProfessor0";"xxx-xxx-xxxx";"fullProfessor0@department4.university0.edu";793;693;579;4
4002;"associateProfessor0";"xxx-xxx-xxxx";"associateProfessor0@department4.university0.edu";622;452;978;4
4003;"assistantProfessor0";"xxx-xxx-xxxx";"assistantProfessor0@department4.university0.edu";461;730;721;4
4004;"lecturer0";"xxx-xxx-xxxx";"lecturer0@department4.university0.edu";435;938;888;4
4011;"fullProfessor1";"xxx-xxx-xxxx";"fullProfessor1@department4.university0.edu";201;288;480;4
4012;"associateProfessor1";"xxx-xxx-xxxx";"associateProfessor1@department4.university0.edu";852;741;645;4
4013;"assistantProfessor1";"xxx-xxx-xxxx";"assistantProfessor1@department4.university0.edu";425;682;992;4
4014;"lecturer1";"xxx-xxx-xxxx";"lecturer1@department4.university0.edu";594;886;281;4
4021;"fullProfessor2";"xxx-xxx-xxxx";"fullProfessor2@department4.university0.edu";540;745;654;4
4022;"associateProfessor2";"xxx-xxx-xxxx";"associateProfessor2@department4.university0.edu";855;477;919;4
4023;"assistantProfessor2";"xxx-xxx-xxxx";"assistantProfessor2@department4.university0.edu";647;410;927;4
4024;"lecturer2";"xxx-xxx-xxxx";"lecturer2@department4.university0.edu";221;867;642;4
4031;"fullProfessor3";"xxx-xxx-xxxx";"fullProfessor3@department4.university0.edu";36;930;184;4
4032;"associateProfessor3";"xxx-xxx-xxxx";"associateProfessor3@department4.university0.edu";230;116;251;4
4033;"assistantProfessor3";"xxx-xxx-xxxx";"assistantProfessor3@department4.university0.edu";346;304;947;4
4034;"lecturer3";"xxx-xxx-xxxx";"lecturer3@department4.university0.edu";21;768;749;4
4041;"fullProfessor4";"xxx-xxx-xxxx";"fullProfessor4@department4.university0.edu";626;874;692;4
4042;"associateProfessor4";"xxx-xxx-xxxx";"associateProfessor4@department4.university0.edu";508;755;616;4
4043;"assistantProfessor4";"xxx-xxx-xxxx";"assistantProfessor4@department4.university0.edu";24;762;402;4
4044;"lecturer4";"xxx-xxx-xxxx";"lecturer4@department4.university0.edu";719;683;946;4
4051;"fullProfessor5";"xxx-xxx-xxxx";"fullProfessor5@department4.university0.edu";753;799;685;4
4052;"associateProfessor5";"xxx-xxx-xxxx";"associateProfessor5@department4.university0.edu";952;826;127;4
4053;"assistantProfessor5";"xxx-xxx-xxxx";"assistantProfessor5@department4.university0.edu";188;382;56;4
4054;"lecturer5";"xxx-xxx-xxxx";"lecturer5@department4.university0.edu";55;185;219;4
4061;"fullProfessor6";"xxx-xxx-xxxx";"fullProfessor6@department4.university0.edu";45;894;815;4
4062;"associateProfessor6";"xxx-xxx-xxxx";"associateProfessor6@department4.university0.edu";14;149;767;4
4063;"assistantProfessor6";"xxx-xxx-xxxx";"assistantProfessor6@department4.university0.edu";384;107;137;4
4064;"lecturer6";"xxx-xxx-xxxx";"lecturer6@department4.university0.edu";644;461;995;4
4072;"associateProfessor7";"xxx-xxx-xxxx";"associateProfessor7@department4.university0.edu";597;397;60;4
4073;"assistantProfessor7";"xxx-xxx-xxxx";"assistantProfessor7@department4.university0.edu";165;676;417;4
4082;"associateProfessor8";"xxx-xxx-xxxx";"associateProfessor8@department4.university0.edu";30;659;619;4
4083;"assistantProfessor8";"xxx-xxx-xxxx";"assistantProfessor8@department4.university0.edu";724;21;517;4
4092;"associateProfessor9";"xxx-xxx-xxxx";"associateProfessor9@department4.university0.edu";656;348;438;4
4093;"assistantProfessor9";"xxx-xxx-xxxx";"assistantProfessor9@department4.university0.edu";439;236;117;4
5001;"fullProfessor0";"xxx-xxx-xxxx";"fullProfessor0@department5.university0.edu";510;26;543;5
5002;"associateProfessor0";"xxx-xxx-xxxx";"associateProfessor0@department5.university0.edu";165;873;119;5
5003;"assistantProfessor0";"xxx-xxx-xxxx";"assistantProfessor0@department5.university0.edu";55;724;761;5
5004;"lecturer0";"xxx-xxx-xxxx";"lecturer0@department5.university0.edu";192;485;892;5
5011;"fullProfessor1";"xxx-xxx-xxxx";"fullProfessor1@department5.university0.edu";788;27;225;5
5012;"associateProfessor1";"xxx-xxx-xxxx";"associateProfessor1@department5.university0.edu";960;486;470;5
5013;"assistantProfessor1";"xxx-xxx-xxxx";"assistantProfessor1@department5.university0.edu";907;313;21;5
5014;"lecturer1";"xxx-xxx-xxxx";"lecturer1@department5.university0.edu";511;824;996;5
5021;"fullProfessor2";"xxx-xxx-xxxx";"fullProfessor2@department5.university0.edu";688;47;514;5
5022;"associateProfessor2";"xxx-xxx-xxxx";"associateProfessor2@department5.university0.edu";661;361;383;5
5023;"assistantProfessor2";"xxx-xxx-xxxx";"assistantProfessor2@department5.university0.edu";727;648;990;5
5024;"lecturer2";"xxx-xxx-xxxx";"lecturer2@department5.university0.edu";121;434;733;5
5031;"fullProfessor3";"xxx-xxx-xxxx";"fullProfessor3@department5.university0.edu";958;828;33;5
5032;"associateProfessor3";"xxx-xxx-xxxx";"associateProfessor3@department5.university0.edu";702;796;504;5
5033;"assistantProfessor3";"xxx-xxx-xxxx";"assistantProfessor3@department5.university0.edu";883;942;666;5
5034;"lecturer3";"xxx-xxx-xxxx";"lecturer3@department5.university0.edu";55;912;440;5
5041;"fullProfessor4";"xxx-xxx-xxxx";"fullProfessor4@department5.university0.edu";265;124;213;5
5042;"associateProfessor4";"xxx-xxx-xxxx";"associateProfessor4@department5.university0.edu";748;895;499;5
5043;"assistantProfessor4";"xxx-xxx-xxxx";"assistantProfessor4@department5.university0.edu";581;264;932;5
5044;"lecturer4";"xxx-xxx-xxxx";"lecturer4@department5.university0.edu";528;263;384;5
5051;"fullProfessor5";"xxx-xxx-xxxx";"fullProfessor5@department5.university0.edu";974;591;372;5
5052;"associateProfessor5";"xxx-xxx-xxxx";"associateProfessor5@department5.university0.edu";442;460;455;5
5053;"assistantProfessor5";"xxx-xxx-xxxx";"assistantProfessor5@department5.university0.edu";939;67;5;5
5054;"lecturer5";"xxx-xxx-xxxx";"lecturer5@department5.university0.edu";379;848;749;5
5061;"fullProfessor6";"xxx-xxx-xxxx";"fullProfessor6@department5.university0.edu";492;766;710;5
5062;"associateProfessor6";"xxx-xxx-xxxx";"associateProfessor6@department5.university0.edu";408;258;233;5
5063;"assistantProfessor6";"xxx-xxx-xxxx";"assistantProfessor6@department5.university0.edu";122;965;378;5
5071;"fullProfessor7";"xxx-xxx-xxxx";"fullProfessor7@department5.university0.edu";146;458;536;5
5072;"associateProfessor7";"xxx-xxx-xxxx";"associateProfessor7@department5.university0.edu";825;471;57;5
5073;"assistantProfessor7";"xxx-xxx-xxxx";"assistantProfessor7@department5.university0.edu";56;210;971;5
5081;"fullProfessor8";"xxx-xxx-xxxx";"fullProfessor8@department5.university0.edu";624;86;247;5
5082;"associateProfessor8";"xxx-xxx-xxxx";"associateProfessor8@department5.university0.edu";690;573;703;5
5091;"fullProfessor9";"xxx-xxx-xxxx";"fullProfessor9@department5.university0.edu";510;724;834;5
5092;"associateProfessor9";"xxx-xxx-xxxx";"associateProfessor9@department5.university0.edu";81;781;853;5
5102;"associateProfessor10";"xxx-xxx-xxxx";"associateProfessor10@department5.university0.edu";489;796;507;5
6001;"fullProfessor0";"xxx-xxx-xxxx";"fullProfessor0@department6.university0.edu";84;474;286;6
6002;"associateProfessor0";"xxx-xxx-xxxx";"associateProfessor0@department6.university0.edu";282;742;36;6
6003;"assistantProfessor0";"xxx-xxx-xxxx";"assistantProfessor0@department6.university0.edu";438;505;526;6
6004;"lecturer0";"xxx-xxx-xxxx";"lecturer0@department6.university0.edu";340;407;131;6
6011;"fullProfessor1";"xxx-xxx-xxxx";"fullProfessor1@department6.university0.edu";903;238;946;6
6012;"associateProfessor1";"xxx-xxx-xxxx";"associateProfessor1@department6.university0.edu";493;665;388;6
6013;"assistantProfessor1";"xxx-xxx-xxxx";"assistantProfessor1@department6.university0.edu";130;76;879;6
6014;"lecturer1";"xxx-xxx-xxxx";"lecturer1@department6.university0.edu";117;929;785;6
6021;"fullProfessor2";"xxx-xxx-xxxx";"fullProfessor2@department6.university0.edu";589;302;986;6
6022;"associateProfessor2";"xxx-xxx-xxxx";"associateProfessor2@department6.university0.edu";251;297;722;6
6023;"assistantProfessor2";"xxx-xxx-xxxx";"assistantProfessor2@department6.university0.edu";455;371;281;6
6024;"lecturer2";"xxx-xxx-xxxx";"lecturer2@department6.university0.edu";800;856;839;6
6031;"fullProfessor3";"xxx-xxx-xxxx";"fullProfessor3@department6.university0.edu";873;929;618;6
6032;"associateProfessor3";"xxx-xxx-xxxx";"associateProfessor3@department6.university0.edu";32;151;773;6
6033;"assistantProfessor3";"xxx-xxx-xxxx";"assistantProfessor3@department6.university0.edu";382;550;925;6
6034;"lecturer3";"xxx-xxx-xxxx";"lecturer3@department6.university0.edu";415;520;233;6
6041;"fullProfessor4";"xxx-xxx-xxxx";"fullProfessor4@department6.university0.edu";619;742;449;6
6042;"associateProfessor4";"xxx-xxx-xxxx";"associateProfessor4@department6.university0.edu";505;182;680;6
6043;"assistantProfessor4";"xxx-xxx-xxxx";"assistantProfessor4@department6.university0.edu";495;403;913;6
6044;"lecturer4";"xxx-xxx-xxxx";"lecturer4@department6.university0.edu";851;96;316;6
6051;"fullProfessor5";"xxx-xxx-xxxx";"fullProfessor5@department6.university0.edu";30;22;295;6
6052;"associateProfessor5";"xxx-xxx-xxxx";"associateProfessor5@department6.university0.edu";362;553;595;6
6053;"assistantProfessor5";"xxx-xxx-xxxx";"assistantProfessor5@department6.university0.edu";330;824;172;6
6054;"lecturer5";"xxx-xxx-xxxx";"lecturer5@department6.university0.edu";482;905;996;6
6061;"fullProfessor6";"xxx-xxx-xxxx";"fullProfessor6@department6.university0.edu";568;162;481;6
6062;"associateProfessor6";"xxx-xxx-xxxx";"associateProfessor6@department6.university0.edu";927;875;326;6
6063;"assistantProfessor6";"xxx-xxx-xxxx";"assistantProfessor6@department6.university0.edu";84;684;780;6
6071;"fullProfessor7";"xxx-xxx-xxxx";"fullProfessor7@department6.university0.edu";444;661;223;6
6072;"associateProfessor7";"xxx-xxx-xxxx";"associateProfessor7@department6.university0.edu";194;495;735;6
6073;"assistantProfessor7";"xxx-xxx-xxxx";"assistantProfessor7@department6.university0.edu";348;664;244;6
6081;"fullProfessor8";"xxx-xxx-xxxx";"fullProfessor8@department6.university0.edu";220;712;130;6
6082;"associateProfessor8";"xxx-xxx-xxxx";"associateProfessor8@department6.university0.edu";868;685;588;6
6091;"fullProfessor9";"xxx-xxx-xxxx";"fullProfessor9@department6.university0.edu";693;934;972;6
6092;"associateProfessor9";"xxx-xxx-xxxx";"associateProfessor9@department6.university0.edu";495;404;431;6
7001;"fullProfessor0";"xxx-xxx-xxxx";"fullProfessor0@department7.university0.edu";270;827;82;7
7002;"associateProfessor0";"xxx-xxx-xxxx";"associateProfessor0@department7.university0.edu";331;139;698;7
7003;"assistantProfessor0";"xxx-xxx-xxxx";"assistantProfessor0@department7.university0.edu";296;620;556;7
7004;"lecturer0";"xxx-xxx-xxxx";"lecturer0@department7.university0.edu";841;733;73;7
7011;"fullProfessor1";"xxx-xxx-xxxx";"fullProfessor1@department7.university0.edu";446;468;288;7
7012;"associateProfessor1";"xxx-xxx-xxxx";"associateProfessor1@department7.university0.edu";365;546;142;7
7013;"assistantProfessor1";"xxx-xxx-xxxx";"assistantProfessor1@department7.university0.edu";181;829;874;7
7014;"lecturer1";"xxx-xxx-xxxx";"lecturer1@department7.university0.edu";337;520;511;7
7021;"fullProfessor2";"xxx-xxx-xxxx";"fullProfessor2@department7.university0.edu";438;646;97;7
7022;"associateProfessor2";"xxx-xxx-xxxx";"associateProfessor2@department7.university0.edu";149;985;125;7
7023;"assistantProfessor2";"xxx-xxx-xxxx";"assistantProfessor2@department7.university0.edu";823;688;14;7
7024;"lecturer2";"xxx-xxx-xxxx";"lecturer2@department7.university0.edu";994;903;657;7
7031;"fullProfessor3";"xxx-xxx-xxxx";"fullProfessor3@department7.university0.edu";598;435;879;7
7032;"associateProfessor3";"xxx-xxx-xxxx";"associateProfessor3@department7.university0.edu";780;924;337;7
7033;"assistantProfessor3";"xxx-xxx-xxxx";"assistantProfessor3@department7.university0.edu";21;755;308;7
7034;"lecturer3";"xxx-xxx-xxxx";"lecturer3@department7.university0.edu";605;169;346;7
7041;"fullProfessor4";"xxx-xxx-xxxx";"fullProfessor4@department7.university0.edu";573;228;870;7
7042;"associateProfessor4";"xxx-xxx-xxxx";"associateProfessor4@department7.university0.edu";664;759;857;7
7043;"assistantProfessor4";"xxx-xxx-xxxx";"assistantProfessor4@department7.university0.edu";415;540;294;7
